"sample","project","CD8","Cytotoxicity","Antigenicity","PD1","PDL1","FASLG","CXCL9","CXCL10","CCL5","Chemokine_Signature"
"TCGA-86-8358-01A-11R-2326-07","LUAD",3.01554143085195,3.18587645997112,10.4530481412275,1.08777068118734,2.4826246370381,-0.163884852015194,6.64369879668061,4.09059005861164,4.72889896623952,5.15439594051059
"TCGA-86-A4D0-01A-11R-A24H-07","LUAD",1.46667562161547,3.7696714357177,9.21395333913041,0.720322150692472,2.56643729902071,0.642220621306938,5.36208653035968,4.14466603596559,4.3914079610062,4.63272017577716
"TCGA-73-4666-01A-01R-1206-07","LUAD",4.89298231300161,5.82498682564534,11.6967128831226,3.59080317005479,6.40815305029543,2.48563571038423,9.87236350072267,6.62828726749204,7.46662631391938,7.98909236071136
"TCGA-NJ-A4YQ-01A-11R-A262-07","LUAD",4.5987578039491,4.60515979754559,10.7743195218211,3.58221940675821,3.73562769533034,2.51919759873213,8.25302930394737,5.56649463416255,7.36985036536644,7.06312476782545
"TCGA-86-7714-01A-12R-2170-07","LUAD",1.04030119361339,1.02057600164645,9.71103332838256,0.122602495478708,2.37487652631432,-1.30165421542526,3.58156102446933,1.58553869348713,3.08159325128002,2.74956432307883
"TCGA-91-8499-01A-11R-2403-07","LUAD",2.43003152313774,3.75302846362372,10.6237334365278,1.8495073012736,2.62496557205276,-1.27976003475551,7.96418253560794,5.94284480404143,5.2512557302261,6.38609435662516
"TCGA-55-7227-01A-11R-2039-07","LUAD",2.38638900142752,3.18472834726256,11.2486813369126,2.19799063930357,4.68133885703976,0.919841659725626,6.86834639849203,4.98213466147989,5.26006210271955,5.70351438756382
"TCGA-78-7158-01A-11R-2039-07","LUAD",0.592519322851425,1.55695092107909,9.83188789433273,-0.784171892505512,2.30770793798805,-0.831131396708849,3.58486478788708,2.70745765531421,3.24336559215637,3.17856267845255
"TCGA-62-A46Y-01A-11R-A24H-07","LUAD",2.90762467521555,3.34229178642213,10.5310164550531,1.59920905692003,4.88950925894309,1.18750814187043,5.26465991873112,4.93144151738313,5.48955304461665,5.22855149357697
"TCGA-97-A4M3-01A-11R-A24X-07","LUAD",0.832786547904412,1.00403681925394,9.11376611986314,0.322702444002289,1.97647686910576,-0.429019031712905,2.66764271025308,1.52161771385598,3.71435110727318,2.63453717712741
"TCGA-L9-A7SV-01A-11R-A39D-07","LUAD",1.39697867943825,1.53660096797516,8.98078252261092,0.730388016551729,1.65587763694853,-0.247461932721771,5.45899078235793,3.72792688068409,3.89563953825346,4.36085240043183
"TCGA-49-AAR3-01A-11R-A41B-07","LUAD",4.93422802923387,5.29987281630832,11.9294373248173,3.70929118361803,6.07974962063188,3.12877599955985,9.12010351797445,7.40718723413694,7.66832034551149,8.06520369920763
"TCGA-73-4662-01A-01R-1206-07","LUAD",3.0490529551156,2.86558931072603,10.817395095974,2.03355278901979,4.28739586447746,0.384967955053213,5.75205892460522,3.55803736505862,5.63896233935317,4.98301954300567
"TCGA-97-A4M5-01A-11R-A24X-07","LUAD",1.60124822589216,3.29891584429286,10.5425440655431,1.16093509369787,3.32483453917396,0.481179371322123,4.69567210027264,3.92582519732237,4.57217148239475,4.39788959332992
"TCGA-97-7547-01A-11R-2039-07","LUAD",1.73831716891125,1.47019275157357,9.95662361506416,1.43232762393704,3.15706290682852,-1.07709635384838,4.94185152056772,2.65623922445918,4.10445851935551,3.90084975479414
"TCGA-44-6145-01A-11R-1755-07","LUAD",4.72458432523687,5.18648113255483,11.5088610088451,3.76158882946955,4.8984388840737,1.58140460826095,7.79315243677988,5.8149488339367,7.07440189205903,6.8941677209252
"TCGA-35-5375-01A-01R-1628-07","LUAD",4.15170057124713,4.08732739515919,11.2403655477838,2.3838887731737,4.11928066649952,0.269009063586314,7.11203114014409,6.48886050542037,6.18174165907985,6.5942111015481
"TCGA-49-4486-01A-01R-1206-07","LUAD",1.73700408339604,1.75323018357059,10.3226747784051,0.0217759585034408,1.3931198431053,-1.70385015615668,3.01434255843443,1.95739130464123,4.32420021427968,3.09864469245178
"TCGA-62-8399-01A-21R-2326-07","LUAD",2.15808886410959,2.97583117928262,8.7272547913277,0.726871200447332,3.41642551902363,-0.803008349366038,4.22845618528359,3.2060645160924,4.48860484311006,3.97437518149535
"TCGA-80-5611-01A-01R-1628-07","LUAD",1.84072191299128,3.28657331400546,11.5325462262786,2.11947761781516,3.3249911193417,0.41421359249407,7.89741393402543,7.51920525910328,6.56409728306429,7.32690549206433
"TCGA-86-8281-01A-11R-2287-07","LUAD",1.37110193404238,1.79492973012799,9.14025698599749,0.245051264080059,1.1337837542329,-0.236614156211025,4.25792151721865,2.21724780665463,4.12237751027505,3.53251561138278
"TCGA-69-A59K-01A-11R-A262-07","LUAD",2.95350254402916,3.03513619597204,9.96012284103417,1.99335791812906,6.66356664961963,-0.263272629478277,7.08615076486083,4.68370450388275,4.83906970165724,5.53630832346694
"TCGA-44-3918-01B-02R-A277-07","LUAD",3.03045858326565,3.25044330847335,8.58154609397867,1.60626299738447,6.53292897425879,2.45125846076218,8.35998303927505,6.60387808359413,4.33079694823917,6.43155269036945
"TCGA-44-4112-01A-01R-1107-07","LUAD",2.77238472214913,3.10604711882242,9.97419860348753,0.121884178485531,3.19180492502622,-0.424214652577885,3.92615513695264,3.6782145083037,4.86823430812013,4.15753465112549
"TCGA-MP-A4T9-01A-11R-A24X-07","LUAD",2.27823141913691,2.75384296021527,10.3472568301782,3.33939366201884,4.41614589572546,-0.141748600113469,5.09152652194943,3.60102512267079,4.88206657970674,4.52487274144232
"TCGA-67-3772-01A-01R-0946-07","LUAD",2.27388070902804,3.58332023948421,11.345934095765,0.356126630502791,1.56997627487131,-1.02391963478481,4.36788404137407,4.04667851284895,5.01905223367818,4.47787159596707
"TCGA-44-8117-01A-11R-2241-07","LUAD",1.69580939570819,2.80308781141569,8.63225508331441,1.64352657242265,3.86120266198979,-0.201207329346517,6.69086559639802,4.70917170554714,4.47109504243826,5.29037744812781
"TCGA-55-8208-01A-11R-2241-07","LUAD",4.07016631069174,4.6546948588287,11.2964491780046,3.1356357963643,5.23405093568853,2.11779576415093,8.6382456526894,7.06292584632259,6.75328013312783,7.48481721071327
"TCGA-75-5122-01A-01R-1755-07","LUAD",6.76129880977655,5.80198779940772,12.4102746371539,4.65977023105846,6.0131864396351,3.45955946601619,9.57527143838718,8.14333919572956,8.5992036948402,8.77260477631898
"TCGA-49-AAR4-01A-12R-A41B-07","LUAD",5.93931275170161,5.41604500848272,11.1422381437014,4.10941483594042,4.55223184198161,2.6061152851175,6.84986189757794,4.28655253964705,8.47067231753045,6.53569558491848
"TCGA-69-7761-01A-11R-2170-07","LUAD",4.16677174369533,4.15186396208495,11.683970548343,2.75443644020399,3.87624551726366,2.45770823811826,9.18753507034298,7.37412608119362,6.59266439621805,7.71810851591822
"TCGA-50-6595-01A-12R-1858-07","LUAD",2.60834649133036,4.52415298198598,11.6140938508108,1.575800550117,6.2390742910193,0.783385881497898,7.26467277526909,8.17894006477627,6.31888504639348,7.25416596214628
"TCGA-44-6148-01A-11R-1755-07","LUAD",3.26759466324343,1.55295576598011,9.43154008962518,0.146173673753412,2.51110010118667,-0.545893969771745,2.35713882641954,1.41149595341037,3.97560306574022,2.58141261519004
"TCGA-MP-A4TF-01A-11R-A262-07","LUAD",1.92001752146598,3.57595661338297,11.2786604321882,0.767218942106876,5.05672427533695,0.550659966003026,6.18961980125974,5.87228480535456,4.45845825281406,5.50678761980945
"TCGA-97-8174-01A-11R-2287-07","LUAD",2.1401552581469,2.89115289676912,10.2071390279093,1.94864807205467,2.51031641108333,0.0705289695374387,6.46814562160026,4.18954723533368,4.82506150786988,5.16091812160127
"TCGA-99-8025-01A-11R-2241-07","LUAD",0.922542354894049,1.20143716261163,9.71455847033872,0.389256438890904,2.62116897111908,-1.80391827649038,4.60107938585038,3.31160309728361,3.58892267350275,3.83386838554558
"TCGA-MP-A4SY-01A-21R-A24X-07","LUAD",0.107335299150963,0.766822500775153,10.2426957479861,0.198798921996935,4.59769173228478,-0.970936869262192,3.94829821537494,3.24391695684557,3.13726673822031,3.4431606368136
"TCGA-75-5126-01A-01R-1755-07","LUAD",3.94353306468186,4.42598746808414,11.6541173496011,1.54100502930328,7.1326051147728,1.35622419661724,7.13691469055975,6.20046549981639,6.29348127843958,6.54362048960524
"TCGA-69-7760-01A-11R-2170-07","LUAD",-0.348980305835109,-0.290133302992895,9.79481526752767,-2.03845084985648,2.19316345963322,-3.33492112922765,1.21515378058192,0.70390853540147,1.08379551632753,1.00095261077031
